"salesorderkey","orderdate","customerkey","customerfirstname","customerlastname","customeraddress","customercity","cusotmerstate","customerzipcode","customercountry","socialmedia","totalsale","currencykey"
"1194134400000-254259485","2007-11-04T07:00:00Z","1139356800000-434","Ian","Wagner","P.O. Box 973 522 A Avenue","Independence","MO","77539","USA","wrncke_krskff","5136","1"
"1415836800000-225223629","2014-11-13T17:20:00Z","1192492800000-169","Tanek","Maddox","P.O. Box 790 3992 Et Av.","Las Vegas","NV","57432","USA","jv3979","5260.25","1"
"1364515200000-248369872","2013-03-29T03:56:00Z","1155772800000-177","Swaine","Guiblais","152 Dewy Bear Dr","Vancouver","WA","98661","USA","NordicCombined2","5303.36","1"
"1388793600000-151699792","2014-01-04T05:09:00Z","1105228800000-249","Peter","Grimes","5449 Vestibulum Avenue","Lawton","OK","72070","USA","jl1321","8330.22","1"
"1246320000000-183908494","2009-06-30T13:59:00Z","1192147200000-628","Jin","Cash","7068 Eget Rd.","Burlington","VT","67311","USA","XlittlekickerX","4868.1","1"
"1219017600000-149059208","2008-08-18T14:54:00Z","1353110400000-502","Maisie","Dorsey","Ap #430-5481 Nibh. Street","Reading","PA","53896","USA","PeAceKeEpLiVin","5496.7","1"
"1292889600000-90368258","2010-12-21T03:38:00Z","1114819200000-24","Kimberley","Madden","Ap #856-8846 Dictum Road","Biloxi","MS","56325","USA","annalisa_fager","7766.16","1"
"1317772800000-5841201","2011-10-05T13:08:00Z","1117497600000-552","Zia","Garrett","71 Burning Butterfly Sq","Austin","TX","78710","USA","theerikmahoney","5452.94","1"
"1203033600000-34112689","2008-02-15T18:04:00Z","1347235200000-227","Lysandra","Berger","P.O. Box 230 6710 Mi Road","Montgomery","AL","36413","USA","hasanpolat45s","4894.83","1"
"1217808000000-89570702","2008-08-04T07:12:00Z","1311465600000-279","Castor","Armstrong","786-6426 Facilisi. Rd.","Columbus","OH","68504","USA","JTraxmaster","5415.87","1"
"1232841600000-72988331","2009-01-25T17:00:00Z","1170201600000-29","Donovan","Forbes","1036 Magna Street","Laramie","WY","53801","USA","rankkolab","8098.56","1"
"1262390400000-93713534","2010-01-02T09:25:00Z","1162339200000-261","Maggy","Avery","P.O. Box 778 812 Cursus Ave","Ketchikan","AK","99754","USA","federelloco","5731.21","1"
"1323993600000-91089681","2011-12-16T03:03:00Z","1197244800000-524","Deirdre","Sellers","4132 Lacinia Av.","Kansas City","MO","20930","USA","20x8","5600.16","1"
"1129939200000-44062514","2005-10-22T20:52:00Z","1112745600000-70","Jaquelyn","Wilkins","7252 Placerat Av.","Mobile","AL","36790","USA","Fran2044","5788.58","1"
"1264291200000-177570674","2010-01-24T23:11:00Z","1234310400000-366","Leroy","Tyler","3863 Nibh. St.","Sandy","UT","46573","USA","prettylouismile","5567.34","1"
"1329004800000-146040448","2012-02-12T12:33:00Z","1261440000000-297","Cadman","Norman","428-6031 Sed St.","Newark","DE","11665","USA","yohyperalta","4243.87","1"
"1147996800000-94013705","2006-05-19T03:00:00Z","1382054400000-478","Honorato","Landry","7624 Facilisis Rd.","Springdale","AR","71878","USA","kkayhanlar","3707.14","1"
"1147996800000-52621183","2006-05-19T09:59:00Z","1273449600000-5","Nichole","Patel","Ap #531-3677 Cubilia Rd.","Philadelphia","PA","86345","USA","mtbiker1","6670.17","1"
"1379635200000-141255076","2013-09-20T18:31:00Z","1119744000000-152","Audra","Elliott","152 Dewy Bear Dr","Vancouver","WA","98661","USA","NordicCombined2","2812.36","1"
"1325289600000-226642303","2011-12-31T11:43:00Z","1172966400000-160","Noelle","Walter","886-364 Orci Avenue","Toledo","OH","53278","USA","juancho1318","10973.38","1"
"1124409600000-171303958","2005-08-19T16:14:00Z","1193788800000-435","Dexter","Benton","953-2290 Aliquet Rd.","Saint Paul","MN","30365","USA","ErikssonKalle","6975.36","1"
"1164844800000-330113125","2006-11-30T14:32:00Z","1215820800000-348","Nathan","Wilcox","2996 Natoque Avenue","Portland","OR","24763","USA","vinncero","6936.58","1"
"1346716800000-90612191","2012-09-04T04:12:00Z","1281139200000-172","Mercedes","Ortega","P.O. Box 121 3022 Diam. Avenue","Worcester","MA","61308","USA","OMGISTHATWICKD","6758.02","1"
"1135987200000-325871101","2005-12-31T07:23:00Z","1263772800000-78","Laith","Fischer","P.O. Box 393 4164 Ac Street","Aurora","IL","46873","USA","MananiRio","6772.71","1"
"1157414400000-124899124","2006-09-05T10:11:00Z","1201996800000-431","Darius","Pollard","P.O. Box 701 9246 Dolor Ave","Bowling Green","KY","80983","USA","VasaDesign","6749.65","1"
"1278720000000-181691591","2010-07-10T14:50:00Z","1158537600000-545","Hoyt","Contreras","5682 Maecenas St.","Lowell","MA","59793","USA","chefe_lima","3022.94","1"
"1278720000000-76643068","2010-07-10T17:31:00Z","1191369600000-576","Nathan","Rasmussen","33 Fallen Anchor Sq","Sunnyvale","CA","94086","USA","DoGoodMS","5847.12","1"
"1418342400000-300499259","2014-12-12T11:29:00Z","1122249600000-32","Ursula","English","6626 Euismod Rd.","Henderson","NV","45158","USA","MeriIranzo","5342.77","1"
"1251331200000-162428698","2009-08-27T07:54:00Z","1167004800000-29","Oleg","Herman","942 Orci Av.","Portland","OR","68647","USA","Angela8202Angie","5325.66","1"
"1192924800000-37096117","2007-10-21T09:10:00Z","1155340800000-612","Burton","Clayton","747-5856 Et Rd.","Hilo","HI","24076","USA","H0n3y_Ch1ld","7180.42","1"
"1135987200000-268073584","2005-12-31T22:36:00Z","1161129600000-390","Kamal","Head","Ap #607-8124 Rhoncus. Rd.","Aurora","IL","95269","USA","EvelinaKristia1","6520.01","1"
"1388793600000-181792154","2014-01-04T20:10:00Z","1194220800000-141","Chandler","Duncan","3826 Penatibus Av.","South Burlington","VT","35946","USA","brkolcy27","6233.98","1"
"1147996800000-43260082","2006-05-19T22:53:00Z","1238630400000-151","Sophie","Veslin","17 Dewy Branch Pl","Albany","NY","12212","USA","endsongjen","6477.05","1"
"1342137600000-100472001","2012-07-13T16:15:00Z","1127606400000-41","Rooney","Trujillo","6626 Euismod Rd.","Henderson","NV","45158","USA","MeriIranzo","3807.01","1"
"1427155200000-76994275","2015-03-24T06:02:00Z","1304640000000-100","Keane","Newman","P.O. Box 184 7625 Enim. Street","Missoula","MT","35399","USA","tiramae","7388.4","1"
"1342137600000-10384172","2012-07-13T12:12:00Z","1206662400000-11","Genevieve","York","Ap #525-4377 Ornare Street","Lakewood","CO","27234","USA","fenozan","4175.29","1"
"1306972800000-27336141","2011-06-02T22:17:00Z","1214697600000-168","Hannah","Hewitt","8347 Gravida. Road","Glendale","AZ","86153","USA","CPrytz","5934.43","1"
"1365811200000-156602029","2013-04-13T10:31:00Z","1134432000000-407","Xandra","Kirby","P.O. Box 975 3697 Et Rd.","Green Bay","WI","38395","USA","osirisoffline","5024.21","1"
"1329004800000-4904470","2012-02-12T09:49:00Z","1257724800000-87","Calista","Burks","33 Fallen Anchor Sq","Sunnyvale","CA","94086","USA","DoGoodMS","8155.96","1"
"1217808000000-45476663","2008-08-04T21:58:00Z","1326240000000-412","Roth","Foley","960-369 Mauris. Ave","Los Angeles","CA","93267","USA","lukasbackman","5626.99","1"
"1238803200000-22393994","2009-04-04T21:31:00Z","1284768000000-36","Jason","Hahn","Ap #525-4377 Ornare Street","Lakewood","CO","27234","USA","fenozan","4227.61","1"
"1194134400000-174336530","2007-11-04T23:22:00Z","1262563200000-299","Alice","Elliott","P.O. Box 641 8530 Molestie Ave","New Haven","CT","78881","USA","nizamettinkzlya","4180.91","1"
"1203033600000-62602566","2008-02-15T17:06:00Z","1149379200000-307","Ora","Lambert","2551 Lorem St.","Naperville","IL","98829","USA","byronpdecipulo","6187.95","1"
"1115683200000-250313107","2005-05-10T15:15:00Z","1124668800000-558","September","Robertson","Ap #897-8610 Duis Rd.","Seattle","WA","75370","USA","almjhul","7119.1","1"
"1132790400000-295347345","2005-11-24T01:35:00Z","1237334400000-548","Francis","Robinson","780-9824 Egestas. Street","Houston","TX","59697","USA","emrhbnli","8826.78","1"
"1306454400000-74708417","2011-05-27T09:39:00Z","1294358400000-99","Derek","Stuart","P.O. Box 112 7849 Odio Rd.","Austin","TX","24411","USA","Juristfan","4736.8","1"
"1306454400000-233240322","2011-05-27T03:28:00Z","1179619200000-576","Shelby","Watkins","69 271st Bluff Ct","Binghamton","NY","13902","USA","Irelovevoice","8228.51","1"
"1234569600000-75292069","2009-02-14T13:52:00Z","1290038400000-80","Aristotle","Thompson","157-1835 Lacus. Av.","Tucson","AZ","86945","USA","PORCH02","8671.08","1"
"1250985600000-49584212","2009-08-23T23:07:00Z","1174521600000-554","Dieter","Vaughn","P.O. Box 442 1963 Posuere Avenue","Colchester","VT","95247","USA","LeMagAllHabs","5710.87","1"
"1319241600000-62385366","2011-10-22T09:35:00Z","1204761600000-591","Morgan","Barlow","P.O. Box 799 7208 Consectetuer St.","Portland","OR","24629","USA","PrincesaBeira","7351.1","1"
"1107388800000-191856558","2005-02-03T16:09:00Z","1124236800000-248","Howard","Aguirre","Ap #121-1678 Montes Ave","Billings","MT","61413","USA","Traceylicious","8297.91","1"
"1262649600000-143773320","2010-01-05T22:44:00Z","1296259200000-294","Chiquita","Nielsen","157-1835 Lacus. Av.","Tucson","AZ","86945","USA","PORCH02","6244.03","1"
"1217462400000-144374249","2008-07-31T21:47:00Z","1206921600000-455","Myra","Puckett","Ap #111-3963 Phasellus St.","Chesapeake","VA","81519","USA","StinaAlbertsson","5720.34","1"
"1219017600000-163124252","2008-08-18T10:36:00Z","1178928000000-348","Jolene","Valentine","7712 Rutrum Road","Jonesboro","AR","71306","USA","cmedina13","5908.32","1"
"1271635200000-144514522","2010-04-19T16:07:00Z","1257033600000-518","Misty","Pouzol","84 Blue Autumn Esp","Memphis","TN","38101","USA","mrstreneverson","5963.09","1"
"1160265600000-87897106","2006-10-08T07:17:00Z","1273276800000-350","Henry","Singleton","3159 Pellentesque. Rd.","Little Rock","AR","72514","USA","dr4m4_","6212.52","1"
"1338508800000-174874370","2012-06-01T07:47:00Z","1384387200000-181","Rafael","Best","Ap #588-4360 Non Ave","Savannah","GA","65758","USA","badgalsar_","3976.4","1"
"1124409600000-78405568","2005-08-19T18:07:00Z","1155945600000-663","Barbara","Reid","529-7390 Duis St.","Wilmington","DE","84936","USA","luvgackt","9255.53","1"
"1328140800000-186621712","2012-02-02T11:45:00Z","1216684800000-263","Bertha","Cotton","Ap #912-3311 Semper Road","Bellevue","WA","60148","USA","pheiniz","8804.25","1"
"1371600000000-39288308","2013-06-19T10:52:00Z","1140825600000-125","Anastasia","Cortez","138 Convallis Rd.","Lakewood","CO","55572","USA","marymacelaru","2858.11","1"
"1376179200000-4544664","2013-08-11T23:29:00Z","1206230400000-227","Kaseem","Peters","P.O. Box 972 6595 Id St.","Saint Louis","MO","15274","USA","tackhej","7782.48","1"
"1341273600000-69404413","2012-07-03T18:01:00Z","1127692800000-147","May","Mcintosh","674-8065 Rutrum Rd.","Great Falls","MT","69999","USA","hawabyk","6256.44","1"
"1377129600000-220283275","2013-08-22T11:37:00Z","1370995200000-429","Lewis","Baxter","31 Amber Autumn Sq","Alton","IL","62002","USA","LifeAs_BROOKLYN","6952.09","1"
"1232064000000-34174998","2009-01-16T16:48:00Z","1169683200000-514","Jacob","Schwartz","102-8862 Mauris Road","Olympia","WA","86235","USA","Cheezitkid","9203.24","1"
"1107820800000-99586210","2005-02-08T10:23:00Z","1295395200000-392","Michelle","Rose","P.O. Box 950 5475 Enim Rd.","Saint Paul","MN","30299","USA","OnurNizamoglu61","4472.2","1"
"1301443200000-49512154","2011-03-30T17:00:00Z","1253404800000-545","Ursula","Knox","P.O. Box 719 1382 Nibh. Avenue","Laramie","WY","49789","USA","xxcxmc","4940.94","1"
"1348531200000-101377545","2012-09-25T04:24:00Z","1218412800000-515","Carly","Fulton","881-9465 Vitae Rd.","South Burlington","VT","14155","USA","adricguerrero","5156.17","1"
"1203033600000-116878033","2008-02-15T13:38:00Z","1238889600000-626","Malachi","Haynes","3159 Pellentesque. Rd.","Little Rock","AR","72514","USA","dr4m4_","5271.88","1"
"1393891200000-178680218","2014-03-04T20:29:00Z","1306454400000-491","Faith","Norris","P.O. Box 245 5118 Natoque Avenue","Jonesboro","AR","71468","USA","LaPataxe","4309.48","1"
"1371600000000-50280348","2013-06-19T01:57:00Z","1172880000000-509","Moses","Fisher","P.O. Box 935 3804 Id Ave","Gulfport","MS","89743","USA","AngelVazquez81","3924.06","1"
"1226016000000-208097824","2008-11-07T19:34:00Z","1182902400000-694","Sierra","Gordon","P.O. Box 779 3148 At Rd.","Lakewood","CO","44371","USA","Samuraiguillote","6622.32","1"
"1186790400000-133057284","2007-08-11T01:19:00Z","1146873600000-257","Paloma","Frye","138 Convallis Rd.","Lakewood","CO","55572","USA","marymacelaru","4579.32","1"
"1124409600000-212617382","2005-08-19T10:47:00Z","1228521600000-621","Barry","Hansen","P.O. Box 935 3804 Id Ave","Gulfport","MS","89743","USA","AngelVazquez81","7094.62","1"
"1226016000000-47365329","2008-11-07T08:49:00Z","1203984000000-69","Zahir","Sloan","3159 Pellentesque. Rd.","Little Rock","AR","72514","USA","dr4m4_","4060.35","1"
"1408406400000-220109886","2014-08-19T15:42:00Z","1191024000000-176","Sigourney","Jefferson","473-4114 Ut Rd.","Hartford","CT","43223","USA","JaneenWelson","7028.23","1"
"1332115200000-150153585","2012-03-19T19:03:00Z","1124323200000-434","Quon","Valentine","102-8862 Mauris Road","Olympia","WA","86235","USA","Cheezitkid","3975.18","1"
"1160352000000-242047833","2006-10-09T09:59:00Z","1141430400000-187","Kasper","Alexander","Ap #532-4784 Diam St.","Dover","DE","22946","USA","almostfifteen","10361.62","1"
"1360022400000-68045813","2013-02-05T11:53:00Z","1135036800000-455","Marisa","Opale","172 Fallen Bear Rdge","Hamilton","OH","45012","USA","meatsandbeats","3457.38","1"
"1150416000000-207561091","2006-06-16T07:51:00Z","1235088000000-441","Vivien","Morrow","Ap #268-3010 Enim Street","Portland","OR","43855","USA","JacobLee190","9629.23","1"
"1271635200000-36675359","2010-04-19T12:54:00Z","1116720000000-249","Suki","Parsons","Ap #514-4253 Justo. Avenue","Juneau","AK","99606","USA","peegupta","8248.44","1"
"1107388800000-113304608","2005-02-03T03:08:00Z","1151366400000-389","Telford","Cameliere","44 Cinder Apple Pde","Indianapolis","IN","46206","USA","jyowms","6457.76","1"
"1220227200000-23416284","2008-09-01T12:22:00Z","1135296000000-539","Adam","Tillman","P.O. Box 682 5930 Sociis Street","Oklahoma City","OK","98448","USA","otinne","9524.36","1"
"1294444800000-195485904","2011-01-08T05:08:00Z","1161216000000-355","Lillian","Graham","Ap #514-4253 Justo. Avenue","Juneau","AK","99606","USA","peegupta","5642.85","1"
"1393891200000-101061938","2014-03-04T03:15:00Z","1113177600000-586","Eugenia","Calhoun","844-4621 Consequat Avenue","Bloomington","MN","59917","USA","jf48485x","1558.15","1"
"1250467200000-157838744","2009-08-17T19:36:00Z","1144540800000-133","Irma","Ortega","1557 Nulla Ave","Essex","VT","21563","USA","msnussia","5199.26","1"
"1160352000000-212596490","2006-10-09T08:27:00Z","1376784000000-480","Tatum","Gonzalez","881-9465 Vitae Rd.","South Burlington","VT","14155","USA","adricguerrero","4523.88","1"
"1323993600000-181293194","2011-12-16T18:44:00Z","1175731200000-647","Hunter","Tanner","Ap #716-8308 Ut Road","Broken Arrow","OK","94044","USA","pablobitj","4728.3","1"
"1329004800000-47563827","2012-02-12T20:28:00Z","1105833600000-459","Cora","Glass","8979 Enim Ave","Milwaukee","WI","46887","USA","huiyellow","9117.69","1"
"1270598400000-122055066","2010-04-07T05:54:00Z","1126656000000-307","Myles","Hooper","Ap #721-7166 Molestie Avenue","Norman","OK","14117","USA","JanIsakson","6275.75","1"
"1178323200000-129055828","2007-05-05T10:27:00Z","1309478400000-269","Bianca","Gross","7258 Magna St.","Covington","KY","94944","USA","manillarainero","6577.15","1"
"1107820800000-211870793","2005-02-08T16:38:00Z","1142208000000-21","Cheryl","Morin","Ap #392-2250 Ipsum St.","Tucson","AZ","86230","USA","commando149","5168.38","1"
"1329004800000-217509626","2012-02-12T20:40:00Z","1108598400000-548","Mason","Alvarez","Ap #595-6087 Ullamcorper. Av.","Portland","OR","50945","USA","ColdStorageGuy","7045.08","1"
"1147996800000-66166307","2006-05-19T12:41:00Z","1327968000000-110","Jonah","Oliver","P.O. Box 528 1743 Dignissim Avenue","Fort Smith","AR","72042","USA","TeBe71","5197.92","1"
"1226016000000-152668213","2008-11-07T15:05:00Z","1104624000000-382","Nina","Wells","P.O. Box 346 2835 Sed Ave","South Portland","ME","40633","USA","arequitolomas","5032.94","1"
"1306972800000-110219309","2011-06-02T13:36:00Z","1278633600000-78","Heidi","Reid","P.O. Box 448 3595 Orci St.","Wichita","KS","98880","USA","aslines","6150.6","1"
"1331596800000-55447275","2012-03-13T23:24:00Z","1170547200000-119","Faith","Foley","Ap #746-2843 Tincidunt Avenue","Madison","WI","50787","USA","HutomoAdiputra","5504.8","1"
"1332115200000-13174032","2012-03-19T23:19:00Z","1185148800000-560","Jackson","Cox","31 Amber Autumn Sq","Alton","IL","62002","USA","LifeAs_BROOKLYN","7143.13","1"
"1189728000000-187841028","2007-09-14T05:30:00Z","1182384000000-329","Willow","Bell","P.O. Box 385 7309 Dui Ave","Cincinnati","OH","84813","USA","yenayecela","3398.38","1"
"1292976000000-2843152","2010-12-22T23:59:00Z","1139270400000-398","Wynne","Raymond","823-7429 Venenatis Avenue","New Haven","CT","69218","USA","charlohogberg","6774.9","1"
"1204329600000-153105401","2008-03-01T05:54:00Z","1203206400000-421","Ciara","Hooper","P.O. Box 233 5614 Dolor Road","Racine","WI","33585","USA","KathiKimmerle","4339.71","1"
"1337385600000-68802847","2012-05-19T08:04:00Z","1128988800000-116","Elvis","Sandoval","318 Non Street","Rockford","IL","37483","USA","jeppejoy","4499.48","1"
"1365811200000-39910225","2013-04-13T05:02:00Z","1237852800000-291","Yoko","Golden","620-1253 Gravida Road","Bear","DE","53213","USA","mdock84","3008.54","1"
"1271635200000-166333252","2010-04-19T14:06:00Z","1398643200000-473","Abraham","Stuart","9804 Ipsum Ave","Dover","DE","23041","USA","taurus13","5536.47","1"
"1415836800000-243610693","2014-11-13T02:48:00Z","1161043200000-58","Stacey","Faulkner","3861 Mollis Avenue","Atlanta","GA","43979","USA","SeedyMbenga","5415.18","1"
"1262649600000-253534571","2010-01-05T06:40:00Z","1245974400000-503","Echo","Mcknight","8478 Sociis Av.","Lowell","MA","57497","USA","nickvincentiv","5198.59","1"
"1364515200000-167939139","2013-03-29T16:09:00Z","1298937600000-264","Noelle","Thompson","3826 Penatibus Av.","South Burlington","VT","35946","USA","brkolcy27","5983.17","1"
"1234569600000-145751754","2009-02-14T12:57:00Z","1205971200000-489","Fay","Eaton","8478 Sociis Av.","Lowell","MA","57497","USA","nickvincentiv","6867.43","1"
"1319068800000-90754994","2011-10-20T22:28:00Z","1328745600000-200","Noelani","Castillo","Ap #466-127 Facilisis Avenue","Newark","DE","55496","USA","boxfansboy","5476.48","1"
"1211760000000-143133269","2008-05-26T12:01:00Z","1286236800000-391","Judah","Mcguire","158-2844 Enim Ave","Rutland","VT","57878","USA","PixelboxVisual","5546.54","1"
"1342137600000-114177294","2012-07-13T22:46:00Z","1183766400000-247","Alma","Rodgers","881-9465 Vitae Rd.","South Burlington","VT","14155","USA","adricguerrero","7829.35","1"
"1217462400000-204660720","2008-07-31T02:13:00Z","1196208000000-487","Imogene","Mccall","4878 Rhoncus Av.","Owensboro","KY","29364","USA","Voekna__Nuunco","3377.65","1"
"1217808000000-19072324","2008-08-04T05:34:00Z","1107561600000-637","Morgan","Banks","Ap #157-1184 Penatibus Ave","Ketchikan","AK","99991","USA","Petronellaroh","8002.35","1"
"1346716800000-253502055","2012-09-04T14:51:00Z","1135814400000-394","Xaviera","Jordan","5259 Risus Rd.","South Bend","IN","34038","USA","ADramaQueens","7735.86","1"
"1115683200000-144583878","2005-05-10T05:47:00Z","1230595200000-404","Travis","Moore","P.O. Box 427 4461 Magna. Rd.","Saint Louis","MO","57540","USA","T3zcan","9035.12","1"
"1178323200000-228890175","2007-05-05T05:24:00Z","1114214400000-357","Jennifer","Duffy","P.O. Box 855 4305 Augue Road","Harrisburg","PA","62582","USA","lalalafrida","6669.53","1"
"1180224000000-1544044","2007-05-27T16:14:00Z","1122163200000-336","Keelie","Knox","P.O. Box 387 9425 Nulla Rd.","Fairbanks","AK","99907","USA","_savasyilmaz_","5187.13","1"
"1345766400000-86657288","2012-08-24T15:20:00Z","1345161600000-189","Zachery","Barrett","Ap #466-127 Facilisis Avenue","Newark","DE","55496","USA","boxfansboy","5975.87","1"
"1260662400000-45721457","2009-12-13T09:38:00Z","1185062400000-482","Alden","Cline","5259 Risus Rd.","South Bend","IN","34038","USA","ADramaQueens","6581.43","1"
"1267315200000-6580509","2010-02-28T11:25:00Z","1271116800000-335","Alisha","Piriou","3 Foggy Beacon Rdge","Wichita","KS","67276","USA","Choaf57","4676.54","1"
"1300665600000-214236595","2011-03-21T09:12:00Z","1189641600000-54","Oscar","Casey","P.O. Box 892 8991 Non Rd.","Mesa","AZ","86315","USA","jake52196","7566.47","1"
"1183507200000-85290520","2007-07-04T02:33:00Z","1127779200000-530","Cecilia","Cantrell","P.O. Box 686 9825 Dolor Rd.","Gulfport","MS","57211","USA","margaritarteaga","8536.34","1"
"1271635200000-186253552","2010-04-19T15:49:00Z","1120608000000-615","Stone","Kramer","744-2330 Quam Road","Chattanooga","TN","92362","USA","gngolcay","7142.15","1"
"1115683200000-17288216","2005-05-10T16:57:00Z","1141171200000-445","Jana","Rich","934-4164 Quis Av.","Indianapolis","IN","23923","USA","salihkul74","8909.04","1"
"1262390400000-55057319","2010-01-02T21:31:00Z","1140307200000-716","Odessa","Mayo","891-8582 Congue Av.","Stamford","CT","94645","USA","raphael_poa","6578.16","1"
"1270598400000-171846042","2010-04-07T22:20:00Z","1164153600000-495","Carter","Kirby","9644 Orci Av.","Chattanooga","TN","38573","USA","zuhairiza","6036.38","1"
"1332288000000-182576311","2012-03-21T12:51:00Z","1322870400000-249","Felix","Norman","111-4690 Lacinia Ave","Tuscaloosa","AL","35344","USA","zehrayhy","10638.56","1"
"1262649600000-1612020","2010-01-05T22:22:00Z","1240617600000-558","Noah","Norris","111-4690 Lacinia Ave","Tuscaloosa","AL","35344","USA","zehrayhy","4976.49","1"
"1346716800000-64799520","2012-09-04T12:11:00Z","1211500800000-86","Katelyn","West","Ap #686-7509 Semper Ave","Covington","KY","39893","USA","VIDKIDTIM","5393.65","1"
"1379635200000-163629683","2013-09-20T18:58:00Z","1125619200000-120","Madaline","Moreno","P.O. Box 730 198 Sed Avenue","Wyoming","WY","24250","USA","96Oros","5440.18","1"
"1262649600000-200256723","2010-01-05T01:31:00Z","1145923200000-96","Lisandra","Talley","575-5380 Sagittis Street","Fresno","CA","96946","USA","ricardo_3284","5883.12","1"
"1204329600000-162153162","2008-03-01T08:19:00Z","1154649600000-207","Geraldine","Taylor","Ap #626-9185 Tempus St.","Billings","MT","29453","USA","Patrik_Hansen","5363.94","1"
"1164844800000-27211855","2006-11-30T21:27:00Z","1133395200000-553","Amena","Puckett","606-2454 Aenean Ave","Ketchikan","AK","99794","USA","NewtAdam","5680.87","1"
"1189123200000-129560950","2007-09-07T09:51:00Z","1136678400000-461","Amal","Hartman","646 Fermentum Rd.","Overland Park","KS","87059","USA","Diinzo95","5840.91","1"
"1211760000000-228512253","2008-05-26T10:22:00Z","1244160000000-125","Malik","Collier","744-2330 Quam Road","Chattanooga","TN","92362","USA","gngolcay","8581.05","1"
"1262649600000-164857640","2010-01-05T14:55:00Z","1247356800000-49","Vivien","Joyce","4218 Ullamcorper Ave","Salem","OR","31909","USA","fioreventuri","1985.63","1"
"1325289600000-319235019","2011-12-31T13:20:00Z","1275696000000-217","Chancellor","Berg","P.O. Box 184 7625 Enim. Street","Missoula","MT","35399","USA","tiramae","4160.07","1"
"1371600000000-194508238","2013-06-19T08:44:00Z","1221955200000-346","Kasper","Villarreal","Ap #270-1617 Est Av.","Tacoma","WA","60921","USA","rayshazz","3833.02","1"
"1338508800000-251265180","2012-06-01T08:28:00Z","1246579200000-639","Joshua","Roach","P.O. Box 688 8059 Lorem Rd.","Boise","ID","57026","USA","BursaliBekir","6446.31","1"
"1210291200000-105820344","2008-05-09T01:45:00Z","1261958400000-121","Tatyana","Dean","3520 Nulla Ave","Casper","WY","99769","USA","bakuufa0735","5000.51","1"
"1270598400000-88724625","2010-04-07T19:56:00Z","1128988800000-337","Kylee","Oconnor","9151 Nisi. Av.","Philadelphia","PA","93864","USA","Optimista2025","5497.19","1"
"1220227200000-43984722","2008-09-01T11:40:00Z","1344988800000-377","Hayden","Sutton","P.O. Box 448 3595 Orci St.","Wichita","KS","98880","USA","aslines","4835.17","1"
"1268438400000-174647699","2010-03-13T16:43:00Z","1209945600000-188","Blythe","Mcmahon","Ap #296-3145 Nec Ave","Shreveport","LA","27336","USA","RU_TWEETN_TO_ME","2270.84","1"
"1238803200000-126622467","2009-04-04T15:42:00Z","1170720000000-385","Sybil","Summers","614-6334 Est St.","Aurora","IL","52800","USA","demian128","10128.01","1"
"1129680000000-234642444","2005-10-19T14:38:00Z","1119830400000-241","Guy","Vinson","40 Cozy Barn Dr","Ames","IA","50010","USA","polksalad","6463.12","1"
"1160352000000-142561317","2006-10-09T09:32:00Z","1109116800000-344","Martha","Moore","4314 Eu St.","Houston","TX","49632","USA","burtonkim76133","4812.68","1"
"1212537600000-163715482","2008-06-04T06:58:00Z","1200096000000-55","Davis","Kelly","P.O. Box 958 7715 Dis St.","Atlanta","GA","22936","USA","Daddy201Leslie","4545","1"
"1377129600000-16482646","2013-08-22T09:43:00Z","1283040000000-353","Uriah","Turner","564-7673 Mauris St.","Kenosha","WI","63124","USA","mcdonaldgrant","8528.74","1"
"1246320000000-196385679","2009-06-30T13:36:00Z","1191801600000-149","Kelsie","David","Ap #626-9185 Tempus St.","Billings","MT","29453","USA","Patrik_Hansen","4498.34","1"
"1217808000000-78594138","2008-08-04T17:35:00Z","1216684800000-309","Zachery","Oneal","P.O. Box 532 8102 Sed St.","Gary","IN","42447","USA","SoCalBIGmike","5107.94","1"
"1379635200000-14427098","2013-09-20T09:16:00Z","1374019200000-354","Brenna","Palmer","P.O. Box 641 8530 Molestie Ave","New Haven","CT","78881","USA","nizamettinkzlya","5218.46","1"
"1178323200000-180013589","2007-05-05T13:13:00Z","1113523200000-705","Matthew","Oconnor","3529 Mattis Rd.","North Las Vegas","NV","85164","USA","_cdmc","9043.57","1"
"1210291200000-142922424","2008-05-09T10:25:00Z","1388448000000-113","Mufutau","Webster","P.O. Box 933 802 Ac Avenue","Lawton","OK","32761","USA","HannesPeterson","4556.18","1"
"1408406400000-151862927","2014-08-19T12:32:00Z","1199836800000-209","Noelle","Odonnell","Ap #752-6247 Ac Avenue","Bellevue","NE","78456","USA","NolascoVC","5071.04","1"
"1211760000000-71829562","2008-05-26T23:55:00Z","1113609600000-466","Lois","Peterson","3818 Duis Ave","Denver","CO","39024","USA","_Lademencia_","6034.2","1"
"1210291200000-250633569","2008-05-09T17:51:00Z","1257811200000-300","Meredith","Tran","Ap #656-3839 Fringilla St.","Rock Springs","WY","64069","USA","VoliaMoon","5879.36","1"
"1408406400000-22744863","2014-08-19T02:48:00Z","1138320000000-384","Imani","Dixon","P.O. Box 545 3232 Vitae Av.","Jonesboro","AR","72362","USA","cengizatayurt","6266.01","1"
"1217462400000-57925351","2008-07-31T20:07:00Z","1106524800000-453","Kimberley","Byers","P.O. Box 535 2182 Nonummy Avenue","Fort Worth","TX","93331","USA","dlua3u2","5462.07","1"
